Data,Hora,Serviço,Dispositivo,Status,Categoria
2024-04-13,09:23:00,ping,NET.S*24,up,Setor
2024-04-13,09:23:00,ping,PTP GILSON/VENTURI,up,PTP
2024-04-13,09:23:00,ping,NET.S*38,up,Setor
2024-04-13,09:23:00,ping,NET.S*129,up,Setor
2024-04-13,09:23:00,ping,NET.S*77,up,Setor
2024-04-13,09:23:00,ping,NET.S*92,up,Setor
2024-04-13,09:23:00,ping,NET.S*69,up,Setor
2024-04-13,09:23:00,ping,NET.S*141,up,Setor
2024-04-13,09:42:00,ping,PTP VENTURI/GILSON,up,PTP
2024-04-13,09:46:00,ping,CLAUDIA MARIA DA SILVA SOUSA *  CONTRATO 15158 *,down,Clientes PF
2024-04-13,09:46:00,ping,APM DO CEMEB DONA MARIA RONCAGLI MICHELOTTI,down,Escolas
2024-04-13,09:46:00,ping,NET.S*155,down,Setor
2024-04-13,09:46:00,ping,NET.S*112,down,Setor
2024-04-13,09:46:00,ping,NET.S*07,down,Setor
2024-04-13,09:51:00,ping,NET.S*78,down,Setor
2024-04-13,09:51:00,ping,NET.S*78,up,Setor
2024-04-13,09:51:00,ping,NET.S*155,up,Setor
2024-04-13,09:51:00,ping,NET.S*112,up,Setor
2024-04-13,09:53:00,ping,NET.S*07,up,Setor
2024-04-13,10:30:00,ping,APM DO CEMEB DONA MARIA RONCAGLI MICHELOTTI,up,Escolas
2024-04-13,10:30:00,ping,NET.S*37,down,Setor
2024-04-13,10:42:00,ping,NET.S*37,up,Setor
2024-04-13,10:42:00,ping,NET.S*37,down,Setor
2024-04-13,10:46:00,ping,NET.S*37,up,Setor
2024-04-13,10:46:00,ping,NET.S*37,down,Setor
2024-04-13,10:46:00,ping,NET.S*142,down,Setor
2024-04-13,10:46:00,ping,NET.S*14,down,Setor
2024-04-13,10:46:00,ping,PTP DEPOSITO/EDILEIA,down,PTP
2024-04-13,10:46:00,ping,NET.S*161,down,Setor
2024-04-13,10:47:00,ping,NET.S*142,up,Setor
2024-04-13,10:47:00,ping,NET.S*14,up,Setor
2024-04-13,10:47:00,ping,PTP DEPOSITO/EDILEIA,up,PTP
2024-04-13,10:47:00,ping,NET.S*161,up,Setor
2024-04-13,10:47:00,ping,NET.S*165,down,Setor
2024-04-13,10:47:00,ping,NET.S*37,up,Setor
2024-04-13,10:47:00,ping,NET.S*02,down,Setor
2024-04-13,10:47:00,ping,NET.S*02,up,Setor
2024-04-13,10:51:00,ping,NET.S*165,up,Setor
2024-04-13,10:51:00,ping,NET.S*165,down,Setor
2024-04-13,10:51:00,ping,NET.S*02,down,Setor
2024-04-13,10:51:00,ping,NET.S*02,up,Setor
2024-04-13,10:58:00,ping,NET.S*165,up,Setor
2024-04-13,10:59:00,ping,NET.S*165,down,Setor
2024-04-13,10:59:00,ping,NET.S*165,up,Setor
2024-04-13,10:59:00,ping,NET.S*37,down,Setor
2024-04-13,11:16:00,ping,NET.S*37,up,Setor
2024-04-13,11:16:00,ping,NET.S*165,down,Setor
2024-04-13,11:17:00,ping,NET.S*165,up,Setor
2024-04-13,11:17:00,ping,NET.S*02,down,Setor
2024-04-13,11:17:00,ping,NET.S*165,down,Setor
2024-04-13,11:17:00,ping,PTP DEPOSITO/EDILEIA,down,PTP
2024-04-13,11:17:00,ping,NET.S*161,down,Setor
